1	媒体人峰会	0	讲座	0	0	0	2013-04-07 15:00	2013-04-05 15:01	2013-05-01 16:00	2013-05-01 18:00	多媒体教室	这是一场讲座，叫了很多boss过来水媒体的事情。	135001
2	科技节	0	活动	0	0	0	2013-04-07 15:00	2013-04-05 15:02	2013-05-01 16:00	2013-05-01 18:00	三饭	叫了boss来吹水。	135002
3	新天地抗议	0	起义	0	0	0	2013-04-07 15:00	2013-04-05 15:03	2013-05-01 16:00	2013-05-01 18:00	新天地广场	抵制噪音！	13503
4	维纳斯第1场	0	文艺演出	0	0	0	2013-04-07 15:00	2013-04-05 15:04	2013-05-01 16:00	2013-05-01 18:00	南校礼堂		维纳斯第一场	13504
5	维纳斯第2场	0	文艺演出	0	0	0	2013-04-07 15:00	2013-04-05 15:05	2013-05-01 16:00	2013-05-01 18:00	南校礼堂		维纳斯第二场	13505
6	维纳斯第3场	0	文艺演出	0	0	0	2013-04-07 15:00	2013-04-05 15:06	2013-05-01 16:00	2013-05-01 18:00	南校礼堂		维纳斯第三场	13506
7	维纳斯第4场	0	文艺演出	0	0	0	2013-04-07 15:00	2013-04-05 15:07	2013-05-01 16:00	2013-05-01 18:00	南校礼堂		维纳斯第四场	13507
8	维纳斯第5场	0	文艺演出	0	0	0	2013-04-07 15:00	2013-04-05 15:08	2013-05-01 16:00	2013-05-01 18:00	南校礼堂		维纳斯第五场	13508
9	帮楼管扫地	0	公益活动	0	5	0	2013-04-07 15:00	2013-04-05 15:09	2013-05-01 16:00	2013-05-01 18:00	宿舍楼	帮楼管扫地，可加公益时间	13509
10	泳协会员训练	0	体育活动	2	0	0	2013-04-07 15:00	2013-04-05 15:10	2013-05-01 16:00	2013-05-01 18:00	游泳馆	加盖章数	13510
11	网协会员训练	0	体育活动	2	0	0	2013-04-07 15:00	2013-04-05 15:11	2013-05-01 16:00	2013-05-01 18:00	网球场	加盖章数	13511
12	艺人研究	0	讲座	5	5	5	2013-04-07 15:00	2013-04-05 15:12	2013-05-01 16:00	2013-05-01 18:00	行政楼B101	全部都加的一次活动	13512

